molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
MED1_001_F1	MED1	1	1	0	1581	1	1581
MED1_002_F1	MED1	2	1	1581	3162	1	1581
MED1_003_F1	MED1	3	1	3162	4743	1	1581
MED1_004_F1	MED1	4	1	4743	6324	1	1581
MED1_005_F1	MED1	5	1	6324	7905	1	1581
MED1_006_F1	MED1	6	1	7905	9486	1	1581
MED1_007_F1	MED1	7	1	9486	11067	1	1581
MED1_008_F1	MED1	8	1	11067	12648	1	1581
MED1_009_F1	MED1	9	1	12648	14229	1	1581
MED1_010_F1	MED1	10	1	14229	15810	1	1581
MED1_011_F1	MED1	11	1	15810	17391	1	1581
MED1_012_F1	MED1	12	1	17391	18972	1	1581
MED1_013_F1	MED1	13	1	18972	20553	1	1581
MED1_014_F1	MED1	14	1	20553	22134	1	1581
MED1_015_F1	MED1	15	1	22134	23715	1	1581
MED1_016_F1	MED1	16	1	23715	25296	1	1581
MED1_017_F1	MED1	17	1	25296	26877	1	1581
MED1_018_F1	MED1	18	1	26877	28458	1	1581
MED1_019_F1	MED1	19	1	28458	30039	1	1581
MED1_020_F1	MED1	20	1	30039	31620	1	1581
MED1_021_F1	MED1	21	1	31620	33201	1	1581
MED1_022_F1	MED1	22	1	33201	34782	1	1581
MED1_023_F1	MED1	23	1	34782	36363	1	1581
MED1_024_F1	MED1	24	1	36363	37944	1	1581
MED1_025_F1	MED1	25	1	37944	39525	1	1581
MED1_026_F1	MED1	26	1	39525	41106	1	1581
MED1_027_F1	MED1	27	1	41106	42687	1	1581
MED1_028_F1	MED1	28	1	42687	44268	1	1581
MED1_029_F1	MED1	29	1	44268	45849	1	1581
MED1_030_F1	MED1	30	1	45849	47430	1	1581
OCT4_001	OCT4		1	47430	47790	1	360
OCT4_002	OCT4		1	47790	48150	1	360
OCT4_003	OCT4		1	48150	48510	1	360
OCT4_004	OCT4		1	48510	48870	1	360
OCT4_005	OCT4		1	48870	49230	1	360
OCT4_006	OCT4		1	49230	49590	1	360
OCT4_007	OCT4		1	49590	49950	1	360
OCT4_008	OCT4		1	49950	50310	1	360
OCT4_009	OCT4		1	50310	50670	1	360
OCT4_010	OCT4		1	50670	51030	1	360
OCT4_011	OCT4		1	51030	51390	1	360
OCT4_012	OCT4		1	51390	51750	1	360
OCT4_013	OCT4		1	51750	52110	1	360
OCT4_014	OCT4		1	52110	52470	1	360
OCT4_015	OCT4		1	52470	52830	1	360
OCT4_016	OCT4		1	52830	53190	1	360
OCT4_017	OCT4		1	53190	53550	1	360
OCT4_018	OCT4		1	53550	53910	1	360
OCT4_019	OCT4		1	53910	54270	1	360
OCT4_020	OCT4		1	54270	54630	1	360
OCT4_021	OCT4		1	54630	54990	1	360
OCT4_022	OCT4		1	54990	55350	1	360
OCT4_023	OCT4		1	55350	55710	1	360
OCT4_024	OCT4		1	55710	56070	1	360
OCT4_025	OCT4		1	56070	56430	1	360
OCT4_026	OCT4		1	56430	56790	1	360
OCT4_027	OCT4		1	56790	57150	1	360
OCT4_028	OCT4		1	57150	57510	1	360
OCT4_029	OCT4		1	57510	57870	1	360
OCT4_030	OCT4		1	57870	58230	1	360
OCT4_031	OCT4		1	58230	58590	1	360
OCT4_032	OCT4		1	58590	58950	1	360
OCT4_033	OCT4		1	58950	59310	1	360
OCT4_034	OCT4		1	59310	59670	1	360
OCT4_035	OCT4		1	59670	60030	1	360
OCT4_036	OCT4		1	60030	60390	1	360
OCT4_037	OCT4		1	60390	60750	1	360
OCT4_038	OCT4		1	60750	61110	1	360
OCT4_039	OCT4		1	61110	61470	1	360
OCT4_040	OCT4		1	61470	61830	1	360
OCT4_041	OCT4		1	61830	62190	1	360
OCT4_042	OCT4		1	62190	62550	1	360
OCT4_043	OCT4		1	62550	62910	1	360
OCT4_044	OCT4		1	62910	63270	1	360
OCT4_045	OCT4		1	63270	63630	1	360
OCT4_046	OCT4		1	63630	63990	1	360
OCT4_047	OCT4		1	63990	64350	1	360
OCT4_048	OCT4		1	64350	64710	1	360
OCT4_049	OCT4		1	64710	65070	1	360
OCT4_050	OCT4		1	65070	65430	1	360
OCT4_051	OCT4		1	65430	65790	1	360
OCT4_052	OCT4		1	65790	66150	1	360
OCT4_053	OCT4		1	66150	66510	1	360
OCT4_054	OCT4		1	66510	66870	1	360
OCT4_055	OCT4		1	66870	67230	1	360
OCT4_056	OCT4		1	67230	67590	1	360
OCT4_057	OCT4		1	67590	67950	1	360
OCT4_058	OCT4		1	67950	68310	1	360
OCT4_059	OCT4		1	68310	68670	1	360
OCT4_060	OCT4		1	68670	69030	1	360
OCT4_061	OCT4		1	69030	69390	1	360
OCT4_062	OCT4		1	69390	69750	1	360
OCT4_063	OCT4		1	69750	70110	1	360
OCT4_064	OCT4		1	70110	70470	1	360
OCT4_065	OCT4		1	70470	70830	1	360
OCT4_066	OCT4		1	70830	71190	1	360
OCT4_067	OCT4		1	71190	71550	1	360
OCT4_068	OCT4		1	71550	71910	1	360
OCT4_069	OCT4		1	71910	72270	1	360
OCT4_070	OCT4		1	72270	72630	1	360
