molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
MED1_001_F1	MED1	1	1	0	1581	1	1581
MED1_002_F1	MED1	2	1	1581	3162	1	1581
MED1_003_F1	MED1	3	1	3162	4743	1	1581
MED1_004_F1	MED1	4	1	4743	6324	1	1581
MED1_005_F1	MED1	5	1	6324	7905	1	1581
MED1_006_F1	MED1	6	1	7905	9486	1	1581
MED1_007_F1	MED1	7	1	9486	11067	1	1581
MED1_008_F1	MED1	8	1	11067	12648	1	1581
MED1_009_F1	MED1	9	1	12648	14229	1	1581
MED1_010_F1	MED1	10	1	14229	15810	1	1581
MED1_011_F1	MED1	11	1	15810	17391	1	1581
MED1_012_F1	MED1	12	1	17391	18972	1	1581
MED1_013_F1	MED1	13	1	18972	20553	1	1581
MED1_014_F1	MED1	14	1	20553	22134	1	1581
MED1_015_F1	MED1	15	1	22134	23715	1	1581
OCT4_001	OCT4		1	23715	24075	1	360
OCT4_002	OCT4		1	24075	24435	1	360
OCT4_003	OCT4		1	24435	24795	1	360
OCT4_004	OCT4		1	24795	25155	1	360
OCT4_005	OCT4		1	25155	25515	1	360
OCT4_006	OCT4		1	25515	25875	1	360
OCT4_007	OCT4		1	25875	26235	1	360
OCT4_008	OCT4		1	26235	26595	1	360
OCT4_009	OCT4		1	26595	26955	1	360
OCT4_010	OCT4		1	26955	27315	1	360
OCT4_011	OCT4		1	27315	27675	1	360
OCT4_012	OCT4		1	27675	28035	1	360
OCT4_013	OCT4		1	28035	28395	1	360
OCT4_014	OCT4		1	28395	28755	1	360
OCT4_015	OCT4		1	28755	29115	1	360
OCT4_016	OCT4		1	29115	29475	1	360
OCT4_017	OCT4		1	29475	29835	1	360
OCT4_018	OCT4		1	29835	30195	1	360
OCT4_019	OCT4		1	30195	30555	1	360
OCT4_020	OCT4		1	30555	30915	1	360
OCT4_021	OCT4		1	30915	31275	1	360
OCT4_022	OCT4		1	31275	31635	1	360
OCT4_023	OCT4		1	31635	31995	1	360
OCT4_024	OCT4		1	31995	32355	1	360
OCT4_025	OCT4		1	32355	32715	1	360
OCT4_026	OCT4		1	32715	33075	1	360
OCT4_027	OCT4		1	33075	33435	1	360
OCT4_028	OCT4		1	33435	33795	1	360
OCT4_029	OCT4		1	33795	34155	1	360
OCT4_030	OCT4		1	34155	34515	1	360
OCT4_031	OCT4		1	34515	34875	1	360
OCT4_032	OCT4		1	34875	35235	1	360
OCT4_033	OCT4		1	35235	35595	1	360
OCT4_034	OCT4		1	35595	35955	1	360
OCT4_035	OCT4		1	35955	36315	1	360
OCT4_036	OCT4		1	36315	36675	1	360
OCT4_037	OCT4		1	36675	37035	1	360
OCT4_038	OCT4		1	37035	37395	1	360
OCT4_039	OCT4		1	37395	37755	1	360
OCT4_040	OCT4		1	37755	38115	1	360
OCT4_041	OCT4		1	38115	38475	1	360
OCT4_042	OCT4		1	38475	38835	1	360
OCT4_043	OCT4		1	38835	39195	1	360
OCT4_044	OCT4		1	39195	39555	1	360
OCT4_045	OCT4		1	39555	39915	1	360
OCT4_046	OCT4		1	39915	40275	1	360
OCT4_047	OCT4		1	40275	40635	1	360
OCT4_048	OCT4		1	40635	40995	1	360
OCT4_049	OCT4		1	40995	41355	1	360
OCT4_050	OCT4		1	41355	41715	1	360
OCT4_051	OCT4		1	41715	42075	1	360
OCT4_052	OCT4		1	42075	42435	1	360
OCT4_053	OCT4		1	42435	42795	1	360
OCT4_054	OCT4		1	42795	43155	1	360
OCT4_055	OCT4		1	43155	43515	1	360
OCT4_056	OCT4		1	43515	43875	1	360
OCT4_057	OCT4		1	43875	44235	1	360
OCT4_058	OCT4		1	44235	44595	1	360
OCT4_059	OCT4		1	44595	44955	1	360
OCT4_060	OCT4		1	44955	45315	1	360
OCT4_061	OCT4		1	45315	45675	1	360
OCT4_062	OCT4		1	45675	46035	1	360
OCT4_063	OCT4		1	46035	46395	1	360
OCT4_064	OCT4		1	46395	46755	1	360
OCT4_065	OCT4		1	46755	47115	1	360
OCT4_066	OCT4		1	47115	47475	1	360
OCT4_067	OCT4		1	47475	47835	1	360
OCT4_068	OCT4		1	47835	48195	1	360
OCT4_069	OCT4		1	48195	48555	1	360
OCT4_070	OCT4		1	48555	48915	1	360
OCT4_071	OCT4		1	48915	49275	1	360
OCT4_072	OCT4		1	49275	49635	1	360
OCT4_073	OCT4		1	49635	49995	1	360
OCT4_074	OCT4		1	49995	50355	1	360
OCT4_075	OCT4		1	50355	50715	1	360
OCT4_076	OCT4		1	50715	51075	1	360
OCT4_077	OCT4		1	51075	51435	1	360
OCT4_078	OCT4		1	51435	51795	1	360
OCT4_079	OCT4		1	51795	52155	1	360
OCT4_080	OCT4		1	52155	52515	1	360
OCT4_081	OCT4		1	52515	52875	1	360
OCT4_082	OCT4		1	52875	53235	1	360
OCT4_083	OCT4		1	53235	53595	1	360
OCT4_084	OCT4		1	53595	53955	1	360
OCT4_085	OCT4		1	53955	54315	1	360
