archive_path,exists_locally,size_bytes,sha256,upload_status
simulation/tasks/work-1/M0O100/run_metadata.json,True,1061,,not_started
simulation/tasks/work-1/M0O100/DONE,True,38,,not_started
simulation/tasks/work-1/M5O95/start.pdb,True,3410509,,not_started
simulation/tasks/work-1/M5O95/output.dcd,True,2526420276,,not_started
simulation/tasks/work-1/M5O95/system.xml,True,20232510,,not_started
simulation/tasks/work-1/M5O95/molecule_map.tsv,True,3624,,not_started
simulation/tasks/work-1/M5O95/run_metadata.json,True,1443,,not_started
simulation/tasks/work-1/M5O95/DONE,True,37,,not_started
simulation/tasks/work-1/M10O90/start.pdb,True,3905014,,not_started
simulation/tasks/work-1/M10O90/output.dcd,True,2892720276,,not_started
simulation/tasks/work-1/M10O90/system.xml,True,22861463,,not_started
simulation/tasks/work-1/M10O90/molecule_map.tsv,True,3658,,not_started
simulation/tasks/work-1/M10O90/run_metadata.json,True,1474,,not_started
simulation/tasks/work-1/M10O90/DONE,True,38,,not_started
simulation/tasks/work-1/M15O85/start.pdb,True,4399519,,not_started
simulation/tasks/work-1/M15O85/output.dcd,True,3259020276,,not_started
simulation/tasks/work-1/M15O85/system.xml,True,25495623,,not_started
simulation/tasks/work-1/M15O85/molecule_map.tsv,True,3688,,not_started
simulation/tasks/work-1/M15O85/run_metadata.json,True,1733,,not_started
simulation/tasks/work-1/M15O85/DONE,True,81,,not_started
simulation/tasks/work-1/M20O80/start.pdb,True,4894024,,not_started
simulation/tasks/work-1/M20O80/output.dcd,True,3625320276,,not_started
simulation/tasks/work-1/M20O80/system.xml,True,28129783,,not_started
simulation/tasks/work-1/M20O80/molecule_map.tsv,True,3718,,not_started
simulation/tasks/work-1/M20O80/run_metadata.json,True,1747,,not_started
simulation/tasks/work-1/M20O80/DONE,True,81,,not_started
simulation/tasks/work-1/M30O70/start.pdb,True,5883034,,not_started
simulation/tasks/work-1/M30O70/output.dcd,True,4357920276,,not_started
simulation/tasks/work-1/M30O70/system.xml,True,33398103,,not_started
simulation/tasks/work-1/M30O70/molecule_map.tsv,True,3778,,not_started
simulation/tasks/work-1/M30O70/run_metadata.json,True,1734,,not_started
simulation/tasks/work-1/M30O70/DONE,True,81,,not_started
simulation/tasks/work-1/M0O100D1/start.pdb,True,2948404,,not_started
simulation/tasks/work-1/M0O100D1/output.dcd,True,2184120276,,not_started
simulation/tasks/work-1/M0O100D1/system.xml,True,18039380,,not_started
simulation/tasks/work-1/M0O100D1/molecule_map.tsv,True,3594,,not_started
simulation/tasks/work-1/M0O100D1/run_metadata.json,True,1347,,not_started
simulation/tasks/work-1/M0O100D1/DONE,True,83,,not_started
simulation/tasks/work-1/M10O90D1/start.pdb,True,3937414,,not_started
simulation/tasks/work-1/M10O90D1/output.dcd,True,2916720276,,not_started
simulation/tasks/work-1/M10O90D1/system.xml,True,23314921,,not_started
simulation/tasks/work-1/M10O90D1/molecule_map.tsv,True,3691,,not_started
simulation/tasks/work-1/M10O90D1/run_metadata.json,True,1474,,not_started
simulation/tasks/work-1/M10O90D1/DONE,True,40,,not_started
simulation/tasks/work-1/M20O80D1/start.pdb,True,4926424,,not_started
simulation/tasks/work-1/M20O80D1/output.dcd,True,3649320276,,not_started
simulation/tasks/work-1/M20O80D1/system.xml,True,28583241,,not_started
simulation/tasks/work-1/M20O80D1/molecule_map.tsv,True,3751,,not_started
simulation/tasks/work-1/M20O80D1/run_metadata.json,True,1461,,not_started
simulation/tasks/work-1/M20O80D1/DONE,True,40,,not_started
simulation/tasks/work-1/M50O0/start.pdb,True,6403054,,not_started
simulation/tasks/work-1/M50O0/output.dcd,True,4743120276,,not_started
simulation/tasks/work-1/M50O0/system.xml,True,35061472,,not_started
simulation/tasks/work-1/M50O0/molecule_map.tsv,True,2148,,not_started
simulation/tasks/work-1/M50O0/run_metadata.json,True,1446,,not_started
simulation/tasks/work-1/M50O0/DONE,True,37,,not_started
simulation/tasks/work-1/M50O0D1/start.pdb,True,6435454,,not_started
simulation/tasks/work-1/M50O0D1/output.dcd,True,4767120276,,not_started
simulation/tasks/work-1/M50O0D1/system.xml,True,35514930,,not_started
simulation/tasks/work-1/M50O0D1/molecule_map.tsv,True,2181,,not_started
simulation/tasks/work-1/M50O0D1/run_metadata.json,True,1462,,not_started
simulation/tasks/work-1/M50O0D1/DONE,True,39,,not_started
simulation/tasks/work-1/M10O90-S2/start.pdb,True,3905014,,not_started
simulation/tasks/work-1/M10O90-S2/output.dcd,True,2892720276,,not_started
simulation/tasks/work-1/M10O90-S2/system.xml,True,22860215,,not_started
simulation/tasks/work-1/M10O90-S2/molecule_map.tsv,True,4055,,not_started
simulation/tasks/work-1/M10O90-S2/run_metadata.json,True,1482,,not_started
simulation/tasks/work-1/M10O90-S2/DONE,True,41,,not_started
simulation/tasks/work-1/M10O90D1-S2/start.pdb,True,3937414,,not_started
simulation/tasks/work-1/M10O90D1-S2/output.dcd,True,2916720276,,not_started
simulation/tasks/work-1/M10O90D1-S2/system.xml,True,23313673,,not_started
simulation/tasks/work-1/M10O90D1-S2/molecule_map.tsv,True,4088,,not_started
