molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
MED1_001_F1	MED1	1	1	0	1581	1	1581
MED1_002_F1	MED1	2	1	1581	3162	1	1581
MED1_003_F1	MED1	3	1	3162	4743	1	1581
MED1_004_F1	MED1	4	1	4743	6324	1	1581
MED1_005_F1	MED1	5	1	6324	7905	1	1581
MED1_006_F1	MED1	6	1	7905	9486	1	1581
MED1_007_F1	MED1	7	1	9486	11067	1	1581
MED1_008_F1	MED1	8	1	11067	12648	1	1581
MED1_009_F1	MED1	9	1	12648	14229	1	1581
MED1_010_F1	MED1	10	1	14229	15810	1	1581
MED1_011_F1	MED1	11	1	15810	17391	1	1581
MED1_012_F1	MED1	12	1	17391	18972	1	1581
MED1_013_F1	MED1	13	1	18972	20553	1	1581
MED1_014_F1	MED1	14	1	20553	22134	1	1581
MED1_015_F1	MED1	15	1	22134	23715	1	1581
MED1_016_F1	MED1	16	1	23715	25296	1	1581
MED1_017_F1	MED1	17	1	25296	26877	1	1581
MED1_018_F1	MED1	18	1	26877	28458	1	1581
MED1_019_F1	MED1	19	1	28458	30039	1	1581
MED1_020_F1	MED1	20	1	30039	31620	1	1581
OCT4_001	OCT4		1	31620	31980	1	360
OCT4_002	OCT4		1	31980	32340	1	360
OCT4_003	OCT4		1	32340	32700	1	360
OCT4_004	OCT4		1	32700	33060	1	360
OCT4_005	OCT4		1	33060	33420	1	360
OCT4_006	OCT4		1	33420	33780	1	360
OCT4_007	OCT4		1	33780	34140	1	360
OCT4_008	OCT4		1	34140	34500	1	360
OCT4_009	OCT4		1	34500	34860	1	360
OCT4_010	OCT4		1	34860	35220	1	360
OCT4_011	OCT4		1	35220	35580	1	360
OCT4_012	OCT4		1	35580	35940	1	360
OCT4_013	OCT4		1	35940	36300	1	360
OCT4_014	OCT4		1	36300	36660	1	360
OCT4_015	OCT4		1	36660	37020	1	360
OCT4_016	OCT4		1	37020	37380	1	360
OCT4_017	OCT4		1	37380	37740	1	360
OCT4_018	OCT4		1	37740	38100	1	360
OCT4_019	OCT4		1	38100	38460	1	360
OCT4_020	OCT4		1	38460	38820	1	360
OCT4_021	OCT4		1	38820	39180	1	360
OCT4_022	OCT4		1	39180	39540	1	360
OCT4_023	OCT4		1	39540	39900	1	360
OCT4_024	OCT4		1	39900	40260	1	360
OCT4_025	OCT4		1	40260	40620	1	360
OCT4_026	OCT4		1	40620	40980	1	360
OCT4_027	OCT4		1	40980	41340	1	360
OCT4_028	OCT4		1	41340	41700	1	360
OCT4_029	OCT4		1	41700	42060	1	360
OCT4_030	OCT4		1	42060	42420	1	360
OCT4_031	OCT4		1	42420	42780	1	360
OCT4_032	OCT4		1	42780	43140	1	360
OCT4_033	OCT4		1	43140	43500	1	360
OCT4_034	OCT4		1	43500	43860	1	360
OCT4_035	OCT4		1	43860	44220	1	360
OCT4_036	OCT4		1	44220	44580	1	360
OCT4_037	OCT4		1	44580	44940	1	360
OCT4_038	OCT4		1	44940	45300	1	360
OCT4_039	OCT4		1	45300	45660	1	360
OCT4_040	OCT4		1	45660	46020	1	360
OCT4_041	OCT4		1	46020	46380	1	360
OCT4_042	OCT4		1	46380	46740	1	360
OCT4_043	OCT4		1	46740	47100	1	360
OCT4_044	OCT4		1	47100	47460	1	360
OCT4_045	OCT4		1	47460	47820	1	360
OCT4_046	OCT4		1	47820	48180	1	360
OCT4_047	OCT4		1	48180	48540	1	360
OCT4_048	OCT4		1	48540	48900	1	360
OCT4_049	OCT4		1	48900	49260	1	360
OCT4_050	OCT4		1	49260	49620	1	360
OCT4_051	OCT4		1	49620	49980	1	360
OCT4_052	OCT4		1	49980	50340	1	360
OCT4_053	OCT4		1	50340	50700	1	360
OCT4_054	OCT4		1	50700	51060	1	360
OCT4_055	OCT4		1	51060	51420	1	360
OCT4_056	OCT4		1	51420	51780	1	360
OCT4_057	OCT4		1	51780	52140	1	360
OCT4_058	OCT4		1	52140	52500	1	360
OCT4_059	OCT4		1	52500	52860	1	360
OCT4_060	OCT4		1	52860	53220	1	360
OCT4_061	OCT4		1	53220	53580	1	360
OCT4_062	OCT4		1	53580	53940	1	360
OCT4_063	OCT4		1	53940	54300	1	360
OCT4_064	OCT4		1	54300	54660	1	360
OCT4_065	OCT4		1	54660	55020	1	360
OCT4_066	OCT4		1	55020	55380	1	360
OCT4_067	OCT4		1	55380	55740	1	360
OCT4_068	OCT4		1	55740	56100	1	360
OCT4_069	OCT4		1	56100	56460	1	360
OCT4_070	OCT4		1	56460	56820	1	360
OCT4_071	OCT4		1	56820	57180	1	360
OCT4_072	OCT4		1	57180	57540	1	360
OCT4_073	OCT4		1	57540	57900	1	360
OCT4_074	OCT4		1	57900	58260	1	360
OCT4_075	OCT4		1	58260	58620	1	360
OCT4_076	OCT4		1	58620	58980	1	360
OCT4_077	OCT4		1	58980	59340	1	360
OCT4_078	OCT4		1	59340	59700	1	360
OCT4_079	OCT4		1	59700	60060	1	360
OCT4_080	OCT4		1	60060	60420	1	360
