molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
MED1_001_F1	MED1	1	1	0	1581	1	1581
MED1_002_F1	MED1	2	1	1581	3162	1	1581
MED1_003_F1	MED1	3	1	3162	4743	1	1581
MED1_004_F1	MED1	4	1	4743	6324	1	1581
MED1_005_F1	MED1	5	1	6324	7905	1	1581
MED1_006_F1	MED1	6	1	7905	9486	1	1581
MED1_007_F1	MED1	7	1	9486	11067	1	1581
MED1_008_F1	MED1	8	1	11067	12648	1	1581
MED1_009_F1	MED1	9	1	12648	14229	1	1581
MED1_010_F1	MED1	10	1	14229	15810	1	1581
MED1_011_F1	MED1	11	1	15810	17391	1	1581
MED1_012_F1	MED1	12	1	17391	18972	1	1581
MED1_013_F1	MED1	13	1	18972	20553	1	1581
MED1_014_F1	MED1	14	1	20553	22134	1	1581
MED1_015_F1	MED1	15	1	22134	23715	1	1581
MED1_016_F1	MED1	16	1	23715	25296	1	1581
MED1_017_F1	MED1	17	1	25296	26877	1	1581
MED1_018_F1	MED1	18	1	26877	28458	1	1581
MED1_019_F1	MED1	19	1	28458	30039	1	1581
MED1_020_F1	MED1	20	1	30039	31620	1	1581
MED1_021_F1	MED1	21	1	31620	33201	1	1581
MED1_022_F1	MED1	22	1	33201	34782	1	1581
MED1_023_F1	MED1	23	1	34782	36363	1	1581
MED1_024_F1	MED1	24	1	36363	37944	1	1581
MED1_025_F1	MED1	25	1	37944	39525	1	1581
OCT4_001	OCT4		1	39525	39885	1	360
OCT4_002	OCT4		1	39885	40245	1	360
OCT4_003	OCT4		1	40245	40605	1	360
OCT4_004	OCT4		1	40605	40965	1	360
OCT4_005	OCT4		1	40965	41325	1	360
OCT4_006	OCT4		1	41325	41685	1	360
OCT4_007	OCT4		1	41685	42045	1	360
OCT4_008	OCT4		1	42045	42405	1	360
OCT4_009	OCT4		1	42405	42765	1	360
OCT4_010	OCT4		1	42765	43125	1	360
OCT4_011	OCT4		1	43125	43485	1	360
OCT4_012	OCT4		1	43485	43845	1	360
OCT4_013	OCT4		1	43845	44205	1	360
OCT4_014	OCT4		1	44205	44565	1	360
OCT4_015	OCT4		1	44565	44925	1	360
OCT4_016	OCT4		1	44925	45285	1	360
OCT4_017	OCT4		1	45285	45645	1	360
OCT4_018	OCT4		1	45645	46005	1	360
OCT4_019	OCT4		1	46005	46365	1	360
OCT4_020	OCT4		1	46365	46725	1	360
OCT4_021	OCT4		1	46725	47085	1	360
OCT4_022	OCT4		1	47085	47445	1	360
OCT4_023	OCT4		1	47445	47805	1	360
OCT4_024	OCT4		1	47805	48165	1	360
OCT4_025	OCT4		1	48165	48525	1	360
OCT4_026	OCT4		1	48525	48885	1	360
OCT4_027	OCT4		1	48885	49245	1	360
OCT4_028	OCT4		1	49245	49605	1	360
OCT4_029	OCT4		1	49605	49965	1	360
OCT4_030	OCT4		1	49965	50325	1	360
OCT4_031	OCT4		1	50325	50685	1	360
OCT4_032	OCT4		1	50685	51045	1	360
OCT4_033	OCT4		1	51045	51405	1	360
OCT4_034	OCT4		1	51405	51765	1	360
OCT4_035	OCT4		1	51765	52125	1	360
OCT4_036	OCT4		1	52125	52485	1	360
OCT4_037	OCT4		1	52485	52845	1	360
OCT4_038	OCT4		1	52845	53205	1	360
OCT4_039	OCT4		1	53205	53565	1	360
OCT4_040	OCT4		1	53565	53925	1	360
OCT4_041	OCT4		1	53925	54285	1	360
OCT4_042	OCT4		1	54285	54645	1	360
OCT4_043	OCT4		1	54645	55005	1	360
OCT4_044	OCT4		1	55005	55365	1	360
OCT4_045	OCT4		1	55365	55725	1	360
OCT4_046	OCT4		1	55725	56085	1	360
OCT4_047	OCT4		1	56085	56445	1	360
OCT4_048	OCT4		1	56445	56805	1	360
OCT4_049	OCT4		1	56805	57165	1	360
OCT4_050	OCT4		1	57165	57525	1	360
OCT4_051	OCT4		1	57525	57885	1	360
OCT4_052	OCT4		1	57885	58245	1	360
OCT4_053	OCT4		1	58245	58605	1	360
OCT4_054	OCT4		1	58605	58965	1	360
OCT4_055	OCT4		1	58965	59325	1	360
OCT4_056	OCT4		1	59325	59685	1	360
OCT4_057	OCT4		1	59685	60045	1	360
OCT4_058	OCT4		1	60045	60405	1	360
OCT4_059	OCT4		1	60405	60765	1	360
OCT4_060	OCT4		1	60765	61125	1	360
OCT4_061	OCT4		1	61125	61485	1	360
OCT4_062	OCT4		1	61485	61845	1	360
OCT4_063	OCT4		1	61845	62205	1	360
OCT4_064	OCT4		1	62205	62565	1	360
OCT4_065	OCT4		1	62565	62925	1	360
OCT4_066	OCT4		1	62925	63285	1	360
OCT4_067	OCT4		1	63285	63645	1	360
OCT4_068	OCT4		1	63645	64005	1	360
OCT4_069	OCT4		1	64005	64365	1	360
OCT4_070	OCT4		1	64365	64725	1	360
OCT4_071	OCT4		1	64725	65085	1	360
OCT4_072	OCT4		1	65085	65445	1	360
OCT4_073	OCT4		1	65445	65805	1	360
OCT4_074	OCT4		1	65805	66165	1	360
OCT4_075	OCT4		1	66165	66525	1	360
