system,replicate,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity
D1,work,17.055388795811055,52.988403079760204,0.8112139954233418
D1,work-1,17.39501001070954,55.04371703156536,0.849578668190842
D1,work-2,16.86057106406148,52.6642773532527,0.7865326867866569
M0O100D1,work,17.749421206314704,56.920973171229704,0.8690877382195346
M0O100D1,work-1,17.912409876770848,57.30511321352817,0.8706389792556223
M0O100D1,work-2,17.66376143554405,56.17676723909892,0.8481445268222677
M10O90D1,work,17.455994591148627,55.49194186681304,0.8467887065650379
M10O90D1,work-1,17.79962296828058,57.91451803947833,0.8924274125276135
M10O90D1,work-2,17.731304466246097,56.5972854552287,0.8626573987608607
M20O80D1,work,17.379564043864214,55.0495183630519,0.831730129045428
M20O80D1,work-1,17.369396876231658,55.13358266290642,0.8523781733332505
M20O80D1,work-2,17.46817435243932,55.84384115280244,0.8529358132849719
M50O0D1,work,17.156673990073717,53.91315070159048,0.8411256335720079
M50O0D1,work-1,17.295120045992874,54.83801813996532,0.8556765592564857
M50O0D1,work-2,17.486193016881778,55.593824183310495,0.886626737138732
