system,replicate,frame,time_us,parent_n_nodes,parent_n_edges,parent_edge_density,parent_mean_partner_number,parent_largest_component_fraction,parent_free_chain_fraction,MED1_parent_mean_partner_number,OCT4_parent_mean_partner_number,block_n_nodes,block_n_eligible_external_pairs,block_n_edges,block_edge_density,block_mean_partner_number,block_largest_component_fraction,continuity_block_n_edges,continuity_block_n_covalent_edges,continuity_block_largest_component_fraction,continuity_block_residue_LCC_fraction,cross_parent_residue_contacts_per_100_residues,MED1_cross_parent_contact_incidences_per_100_residues,OCT4_cross_parent_contact_incidences_per_100_residues,n_sibling_MED1_fragment_edges_excluded,n_sibling_MED1_residue_pairs_excluded,DNA_direct_MED1_parent_count,DNA_direct_OCT4_parent_count,DNA_linked_physical_fraction,DNA_direct_physical_fraction,DNA_second_physical_fraction,DNA_third_plus_physical_fraction,DNA_linked_residue_fraction,DNA_direct_residue_fraction,DNA_second_residue_fraction,DNA_third_plus_residue_fraction,DNA_linked_parent_fraction,DNA_direct_parent_fraction,DNA_second_parent_fraction,DNA_third_plus_parent_fraction,DNA_linked_bead_all_count,DNA_linked_bead_all_total_weight,DNA_linked_bead_all_mean_nm,DNA_linked_bead_all_q90_nm,DNA_linked_bead_OCT4_count,DNA_linked_bead_OCT4_total_weight,DNA_linked_bead_OCT4_mean_nm,DNA_linked_bead_OCT4_q90_nm,DNA_linked_bead_MED1_count,DNA_linked_bead_MED1_total_weight,DNA_linked_bead_MED1_mean_nm,DNA_linked_bead_MED1_q90_nm,DNA_linked_parent_weighted_bead_all_count,DNA_linked_parent_weighted_bead_all_total_weight,DNA_linked_parent_weighted_bead_all_mean_nm,DNA_linked_parent_weighted_bead_all_q90_nm,DNA_linked_parent_weighted_bead_OCT4_count,DNA_linked_parent_weighted_bead_OCT4_total_weight,DNA_linked_parent_weighted_bead_OCT4_mean_nm,DNA_linked_parent_weighted_bead_OCT4_q90_nm,DNA_linked_parent_weighted_bead_MED1_count,DNA_linked_parent_weighted_bead_MED1_total_weight,DNA_linked_parent_weighted_bead_MED1_mean_nm,DNA_linked_parent_weighted_bead_MED1_q90_nm,DNA_linked_physical_chain_com_all_count,DNA_linked_physical_chain_com_all_total_weight,DNA_linked_physical_chain_com_all_mean_nm,DNA_linked_physical_chain_com_all_q90_nm,DNA_linked_physical_chain_com_OCT4_count,DNA_linked_physical_chain_com_OCT4_total_weight,DNA_linked_physical_chain_com_OCT4_mean_nm,DNA_linked_physical_chain_com_OCT4_q90_nm,DNA_linked_physical_chain_com_MED1_count,DNA_linked_physical_chain_com_MED1_total_weight,DNA_linked_physical_chain_com_MED1_mean_nm,DNA_linked_physical_chain_com_MED1_q90_nm,DNA_linked_block_com_all_count,DNA_linked_block_com_all_total_weight,DNA_linked_block_com_all_mean_nm,DNA_linked_block_com_all_q90_nm,DNA_linked_block_com_OCT4_count,DNA_linked_block_com_OCT4_total_weight,DNA_linked_block_com_OCT4_mean_nm,DNA_linked_block_com_OCT4_q90_nm,DNA_linked_block_com_MED1_count,DNA_linked_block_com_MED1_total_weight,DNA_linked_block_com_MED1_mean_nm,DNA_linked_block_com_MED1_q90_nm
M10O90,work,2001,2.001,100,58.0,0.0117171717171717,1.16,0.11,0.32,2.4,1.022222222222222,130,8325.0,66.0,0.0079279279279279,1.015384615384615,0.0846153846153846,96,30,0.1538461538461538,0.1581207218419415,40.35469819539514,43.156230234029096,99.03395061728396,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2101,2.101,100,77.0,0.0155555555555555,1.54,0.15,0.19,2.8,1.4,130,8325.0,84.0,0.01009009009009,1.2923076923076924,0.0769230769230769,114,30,0.1846153846153846,0.1879900435594275,45.198091682223605,37.37507906388362,116.26851851851852,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2201,2.201,100,62.0,0.0125252525252525,1.24,0.11,0.28,2.4,1.1111111111111112,130,8325.0,69.0,0.0082882882882882,1.0615384615384615,0.0615384615384615,99,30,0.1538461538461538,0.1581207218419415,42.83965982161377,32.51739405439595,111.62037037037037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2301,2.301,100,70.0,0.0141414141414141,1.4,0.17,0.29,3.4,1.1777777777777778,130,8325.0,78.0,0.0093693693693693,1.2,0.0615384615384615,108,30,0.1846153846153846,0.190914747977598,46.27255756067206,50.53130929791271,113.04629629629628,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2401,2.401,100,58.0,0.0117171717171717,1.16,0.23,0.35,2.8,0.9777777777777776,130,8325.0,69.0,0.0082882882882882,1.0615384615384615,0.1461538461538461,99,30,0.2923076923076923,0.2983820784069695,39.313420452188346,34.813409234661606,100.00617283950618,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2501,2.501,100,58.0,0.0117171717171717,1.16,0.15,0.31,2.7,0.9888888888888888,130,8325.0,60.0,0.0072072072072072,0.9230769230769232,0.1076923076923077,90,30,0.1846153846153846,0.1879900435594275,32.752540966604435,28.34282099936749,83.63888888888889,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2601,2.601,100,75.0,0.0151515151515151,1.5,0.11,0.21,2.7,1.3666666666666667,130,8325.0,85.0,0.0102102102102102,1.3076923076923077,0.1076923076923077,115,30,0.1076923076923077,0.1074673304293715,51.829495955196016,45.88867805186591,131.84876543209876,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2701,2.701,100,65.0,0.0131313131313131,1.3,0.09,0.22,2.4,1.1777777777777778,130,8325.0,70.0,0.0084084084084084,1.0769230769230769,0.0615384615384615,100,30,0.1,0.1029247044181705,34.24600705247874,25.686274509803923,89.37962962962963,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2801,2.801,100,76.0,0.0153535353535353,1.52,0.33,0.32,3.3,1.3222222222222222,130,8325.0,87.0,0.0104504504504504,1.3384615384615384,0.1384615384615384,117,30,0.3692307692307692,0.3730553827006845,48.13939016801493,54.54775458570525,116.64197530864196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10O90,work,2901,2.901,100,71.0,0.0143434343434343,1.42,0.12,0.21,1.8,1.3777777777777778,130,8325.0,80.0,0.0096096096096096,1.2307692307692308,0.0923076923076923,110,30,0.1153846153846153,0.1178593652769135,50.705247873885085,43.20683111954459,129.81172839506172,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
