comparison,without_DNA_system,with_DNA_system,replicate,cutoff_nm,metric,without_DNA,with_DNA,delta_with_minus_without
pure MED1,M50O0,M50O0D1,work-1,1.0,largest_cluster_fraction,0.975,0.976,0.0010000000000000009
pure MED1,M50O0,M50O0D1,work-1,1.2,largest_cluster_fraction,0.983,0.9810000000000001,-0.0019999999999998908
pure MED1,M50O0,M50O0D1,work-1,1.4,largest_cluster_fraction,0.9884999999999999,0.985,-0.0034999999999999476
pure MED1,M50O0,M50O0D1,work-1,1.2,PP_edge_density,0.07791836734693873,0.10795918367346935,0.03004081632653062
pure MED1,M50O0,M50O0D1,work-1,1.2,n_PP_edges,95.45,132.25,36.8
pure MED1,M50O0,M50O0D1,work-2,1.0,largest_cluster_fraction,0.9795,0.974,-0.00550000000000006
pure MED1,M50O0,M50O0D1,work-2,1.2,largest_cluster_fraction,0.9845,0.9800000000000001,-0.0044999999999999485
pure MED1,M50O0,M50O0D1,work-2,1.4,largest_cluster_fraction,0.9904999999999999,0.9845,-0.005999999999999894
pure MED1,M50O0,M50O0D1,work-2,1.2,PP_edge_density,0.07904081632653057,0.10365306122448976,0.0246122448979592
pure MED1,M50O0,M50O0D1,work-2,1.2,n_PP_edges,96.825,126.975,30.14999999999999
