DNA_condition,replicate,metric,Full,Split_2,Split_4,Full_minus_Split_2,Full_minus_Split_4
+DNA,work-1,n_sibling_MED1_fragment_edges_excluded,0.0,0.425,9.475,-0.425,-9.475
+DNA,work-1,n_sibling_MED1_residue_pairs_excluded,0.0,44.325,5909.975,-44.325,-5909.975
+DNA,work-2,continuity_block_residue_LCC_fraction,0.49479775980087115,0.4148055382700684,0.3903661066168844,0.07999222153080277,0.10443165318398673
+DNA,work-2,parent_mean_partner_number,2.926,2.8445,3.2329999999999997,0.08150000000000013,-0.3069999999999995
+DNA,work-2,parent_edge_density,0.0295555555555555,0.02873232323232317,0.03265656565656562,0.0008232323232323299,-0.003101010101010118
+DNA,work-2,block_mean_partner_number,2.4546153846153844,2.3453846153846154,2.6815384615384614,0.10923076923076902,-0.226923076923077
+DNA,work-2,block_edge_density,0.019165165165165123,0.01831231231231226,0.020936936936936882,0.0008528528528528624,-0.0017717717717717595
+DNA,work-2,cross_parent_residue_contacts_per_100_residues,66.76078614395354,63.87295166977806,76.55102675793404,2.8878344741754773,-9.790240613980501
+DNA,work-2,MED1_cross_parent_contact_incidences_per_100_residues,54.091239721695125,61.347722960151806,88.0572422517394,-7.256483238456681,-33.96600253004427
+DNA,work-2,OCT4_cross_parent_contact_incidences_per_100_residues,172.28063271604938,160.14575617283953,184.841512345679,12.134876543209856,-12.560879629629625
+DNA,work-2,n_sibling_MED1_fragment_edges_excluded,0.0,0.125,10.5,-0.125,-10.5
+DNA,work-2,n_sibling_MED1_residue_pairs_excluded,0.0,10.775,5874.075,-10.775,-5874.075
