system,replicate,frame,time_us,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity
D1,work-2,1101,1.101,17.413847887776857,56.918023735878755,0.8921292386469764
D1,work-2,1201,1.201,14.996824245367202,37.70408776317705,0.5439174113921496
D1,work-2,1301,1.301,17.71998459073909,57.73734223052855,0.9149384644416702
D1,work-2,1401,1.401,17.194358621465813,52.90331529433494,0.7918137558094068
D1,work-2,1501,1.5010000000000001,16.88634062270276,51.84974418980011,0.7216157651845261
D1,work-2,1601,1.601,18.510103468833044,61.76110772018379,0.9762588494868601
D1,work-2,1701,1.701,18.586542384137594,60.95067038592468,0.90793152878474
D1,work-2,1801,1.801,13.397734864810545,30.954582364177,0.3929715992330493
D1,work-2,1901,1.901,14.862429061742672,42.17008711238045,0.5297010030231605
D1,work-2,2001,2.001,16.243771134075097,52.700611637729615,0.7803477967595496
D1,work-2,2101,2.101,16.364264655544897,42.73267018826815,0.6934175561673798
D1,work-2,2201,2.201,10.879429042166482,24.8977275690792,0.18949630903443157
D1,work-2,2301,2.301,16.12305806814017,50.487018307146215,0.7483588236740591
D1,work-2,2401,2.4010000000000002,15.465885816809404,44.05936878559787,0.6536631743806546
D1,work-2,2501,2.501,15.45648336071383,49.85675795208777,0.6664575266063628
D1,work-2,2601,2.601,17.41691565102488,55.968791407640495,0.8513121252213394
D1,work-2,2701,2.701,14.914906842649678,36.72144024307516,0.4112083419763107
D1,work-2,2801,2.801,17.067774227228416,55.762734392670474,0.871325963761403
D1,work-2,2901,2.9010000000000002,17.628854312797074,57.22482479258812,0.8808045721022428
D1,work-2,3001,3.001,18.206972930149806,58.85513173851435,0.9334831929190652
D1,work-2,3101,3.101,15.563024284055198,50.16585922722414,0.6208162181489044
D1,work-2,3201,3.201,18.080780659300157,57.84467907903297,0.9332047311205474
D1,work-2,3301,3.301,17.73522312444581,56.91681760925771,0.8121187760907346
D1,work-2,3401,3.4010000000000002,18.00538953314416,58.04159604212164,0.924106016780445
D1,work-2,3501,3.501,17.539100383237052,55.41756390678833,0.8402944070235925
D1,work-2,3601,3.601,17.266585091425135,56.36861894660438,0.8720218607506494
D1,work-2,3701,3.701,18.314927555651053,60.88647878970918,0.9407769765814636
D1,work-2,3801,3.801,17.9637572623584,57.46503961255809,0.9132822011395215
D1,work-2,3901,3.9010000000000002,17.119285208805977,58.47194474272445,0.9168090060632392
D1,work-2,4001,4.001,17.854148078865872,59.80277047522439,0.9219792859031278
D1,work-2,4101,4.101,16.085411230426065,45.80788074108594,0.7320378378143839
D1,work-2,4201,4.2010000000000005,18.292753549898013,61.612403252637066,0.9624606073332399
D1,work-2,4301,4.301,16.78990665082261,54.52981827062959,0.8126933125915822
D1,work-2,4401,4.401,17.140290764736037,52.71773216177165,0.7569460910566973
D1,work-2,4501,4.501,18.621944875611938,61.357855264136276,0.9436379146166444
D1,work-2,4601,4.601,17.745577910313546,56.32020838309171,0.8972159635682805
D1,work-2,4701,4.7010000000000005,18.419921055120046,61.113994018670596,0.9594528457436795
D1,work-2,4801,4.801,15.051556144799685,45.63332959806407,0.639285139843124
D1,work-2,4901,4.901,17.079790205295815,53.13345210451512,0.779790619135613
