replicate,metric,Full,Split_2,Split_4,Full_minus_Split_2,Full_minus_Split_4
work,physical_linked_bead_q90_nm,30.789457387568763,20.242281641486713,16.352366197371886,10.54717574608205,14.437091190196877
work,physical_linked_block_com_q90_nm,30.336807216449465,19.415348729488144,15.052355680908216,10.92145848696132,15.28445153554125
work,fixed_parent_linked_bead_q90_nm,30.789457387568763,36.020956475892646,37.229886653617875,-5.231499088323883,-6.440429266049112
work,fixed_parent_linked_block_com_q90_nm,30.336807216449465,35.71845903161049,37.0588899682284,-5.381651815161028,-6.7220827517789346
work,external_block_linked_bead_q90_nm,16.062784051137548,14.436488669723493,16.194588453013814,1.6262953814140548,-0.1318044018762663
work,external_block_linked_block_com_q90_nm,14.627670425456552,12.833811405661132,14.876582586190207,1.7938590197954198,-0.24891216073365463
work,all_protein_bead_q90_nm,38.84989634657907,39.32606107710756,39.745469250147735,-0.4761647305284882,-0.895572903568663
work,all_protein_block_com_q90_nm,38.53852269101361,39.08835520711942,39.58307634664412,-0.5498325161058091,-1.0445536556305086
work-1,physical_linked_bead_q90_nm,26.975091387128266,22.323981959920665,15.348589458124076,4.651109427207601,11.62650192900419
work-1,physical_linked_block_com_q90_nm,26.418892202761857,21.9527349056762,14.178985350466462,4.466157297085658,12.239906852295395
work-1,fixed_parent_linked_bead_q90_nm,26.975091387128266,35.429881229320365,36.532419134945215,-8.454789842192099,-9.557327747816949
work-1,fixed_parent_linked_block_com_q90_nm,26.418892202761857,35.067590925365515,36.41793638256824,-8.648698722603658,-9.999044179806386
work-1,external_block_linked_bead_q90_nm,16.397417068714304,16.72371586985203,15.31402657183113,-0.3262988011377246,1.0833904968831742
work-1,external_block_linked_block_com_q90_nm,15.146606202833421,15.292565556989675,14.143623567223134,-0.14595935415625405,1.0029826356102873
work-1,all_protein_bead_q90_nm,38.70535918127892,39.83405849352141,39.008354104124514,-1.1286993122424889,-0.30299492284559193
work-1,all_protein_block_com_q90_nm,38.5345781824473,39.56754226028157,38.85925966661797,-1.0329640778342721,-0.3246814841706751
work-2,physical_linked_bead_q90_nm,27.884273699168308,21.71820993546968,15.96311206721364,6.166063763698627,11.921161631954668
work-2,physical_linked_block_com_q90_nm,27.431445423859138,20.740530686088906,14.769545488688072,6.690914737770232,12.661899935171066
work-2,fixed_parent_linked_bead_q90_nm,27.884273699168308,36.62741033728659,37.37589195234533,-8.743136638118283,-9.49161825317702
work-2,fixed_parent_linked_block_com_q90_nm,27.431445423859138,36.40636430093431,37.218531552048645,-8.974918877075169,-9.787086128189507
work-2,external_block_linked_bead_q90_nm,14.36156485481539,15.835186016553852,15.70945218265528,-1.4736211617384622,-1.3478873278398904
work-2,external_block_linked_block_com_q90_nm,12.837081560467075,14.071917271903416,14.502080507212781,-1.2348357114363413,-1.6649989467457065
work-2,all_protein_bead_q90_nm,40.27056587741087,39.67739995623985,39.97405093793823,0.5931659211710141,0.29651493947263674
work-2,all_protein_block_com_q90_nm,40.05076099007432,39.530366601921884,39.68998258174413,0.5203943881524395,0.3607784083301908
