replicate,metric,Full,Split_2,Split_2_minus_Full
work-1,parent_DNA_bound_pair_fraction_of_bridges,0.5249381358484217,0.41236537621926594,-0.1125727596291558
work-1,parent_DNA_bound_pair_fraction_of_bound_O_pairs,0.09670481258888718,0.0921067032362904,-0.004598109352596774
work-1,parent_bridged_DNA_bound_OCT4_n,20.1575,18.8475,-1.3099999999999987
work-1,parent_DNA_bound_pair_minsep_mean_bp,22.790313235211,26.40032515060916,3.610011915398161
work-1,parent_DNA_bound_pair_minsep_median_bp,19.475,18.5425,-0.932500000000001
work-1,parent_DNA_bound_pair_centersep_mean_bp,37.124804702553526,40.76316915508093,3.638364452527405
work-1,parent_DNA_bound_different_20bp_window_pair_count,32.7575,26.225,-6.532499999999999
work-1,parent_DNA_bound_minsep_ge_10bp_pair_count,33.1975,26.775,-6.422499999999999
work-1,parent_DNA_bound_minsep_ge_10bp_pair_fraction,0.718139753724936,0.6974910090734368,-0.02064874465149924
work-1,parent_DNA_bound_minsep_ge_20bp_pair_count,22.32,17.24,-5.080000000000002
work-1,parent_DNA_bound_minsep_ge_20bp_pair_fraction,0.46353499556550126,0.42280958231849874,-0.04072541324700252
work-1,parent_DNA_bound_minsep_ge_40bp_pair_count,8.6375,7.7025,-0.9349999999999996
work-1,parent_DNA_bound_minsep_ge_40bp_pair_fraction,0.16794766952327372,0.16828948285605144,0.0003418133327777184
work-2,direct_DNA_OCT4_n,31.6225,28.5175,-3.1050000000000004
work-2,direct_DNA_OCT4_fraction,0.35136111111111107,0.3168611111111111,-0.034499999999999975
work-2,direct_OO_pair_count,105.97,92.3825,-13.587500000000006
work-2,physical_strict_OMO_pair_count,80.425,52.2025,-28.222499999999997
work-2,physical_strict_OMO_triple_count,83.2925,55.6225,-27.67
work-2,physical_DNA_bound_pair_count,44.1975,31.7025,-12.494999999999997
work-2,physical_DNA_bound_triple_count,46.4325,34.5175,-11.915
work-2,physical_DNA_bound_pair_fraction_of_bridges,0.5457732467648827,0.6131803087021859,0.06740706193730317
work-2,physical_DNA_bound_pair_fraction_of_bound_O_pairs,0.09142102016356494,0.08089106885343672,-0.010529951310128224
work-2,physical_bridged_DNA_bound_OCT4_n,17.25,18.7275,1.4774999999999991
work-2,physical_DNA_bound_pair_minsep_mean_bp,23.45705685684909,17.38979499789816,-6.067261858950928
work-2,physical_DNA_bound_pair_minsep_median_bp,20.2525,14.67375,-5.578750000000001
work-2,physical_DNA_bound_pair_centersep_mean_bp,38.071565010249806,31.89009901347049,-6.181465996779316
work-2,physical_DNA_bound_different_20bp_window_pair_count,33.0075,21.4375,-11.57
