molecule_id	molecule_type	parent_med1	fragment	particle_start	particle_stop_exclusive	residue_start	residue_stop_inclusive
MED1_001_F1	MED1	1	1	0	1581	1	1581
MED1_002_F1	MED1	2	1	1581	3162	1	1581
MED1_003_F1	MED1	3	1	3162	4743	1	1581
MED1_004_F1	MED1	4	1	4743	6324	1	1581
MED1_005_F1	MED1	5	1	6324	7905	1	1581
OCT4_001	OCT4		1	7905	8265	1	360
OCT4_002	OCT4		1	8265	8625	1	360
OCT4_003	OCT4		1	8625	8985	1	360
OCT4_004	OCT4		1	8985	9345	1	360
OCT4_005	OCT4		1	9345	9705	1	360
OCT4_006	OCT4		1	9705	10065	1	360
OCT4_007	OCT4		1	10065	10425	1	360
OCT4_008	OCT4		1	10425	10785	1	360
OCT4_009	OCT4		1	10785	11145	1	360
OCT4_010	OCT4		1	11145	11505	1	360
OCT4_011	OCT4		1	11505	11865	1	360
OCT4_012	OCT4		1	11865	12225	1	360
OCT4_013	OCT4		1	12225	12585	1	360
OCT4_014	OCT4		1	12585	12945	1	360
OCT4_015	OCT4		1	12945	13305	1	360
OCT4_016	OCT4		1	13305	13665	1	360
OCT4_017	OCT4		1	13665	14025	1	360
OCT4_018	OCT4		1	14025	14385	1	360
OCT4_019	OCT4		1	14385	14745	1	360
OCT4_020	OCT4		1	14745	15105	1	360
OCT4_021	OCT4		1	15105	15465	1	360
OCT4_022	OCT4		1	15465	15825	1	360
OCT4_023	OCT4		1	15825	16185	1	360
OCT4_024	OCT4		1	16185	16545	1	360
OCT4_025	OCT4		1	16545	16905	1	360
OCT4_026	OCT4		1	16905	17265	1	360
OCT4_027	OCT4		1	17265	17625	1	360
OCT4_028	OCT4		1	17625	17985	1	360
OCT4_029	OCT4		1	17985	18345	1	360
OCT4_030	OCT4		1	18345	18705	1	360
OCT4_031	OCT4		1	18705	19065	1	360
OCT4_032	OCT4		1	19065	19425	1	360
OCT4_033	OCT4		1	19425	19785	1	360
OCT4_034	OCT4		1	19785	20145	1	360
OCT4_035	OCT4		1	20145	20505	1	360
OCT4_036	OCT4		1	20505	20865	1	360
OCT4_037	OCT4		1	20865	21225	1	360
OCT4_038	OCT4		1	21225	21585	1	360
OCT4_039	OCT4		1	21585	21945	1	360
OCT4_040	OCT4		1	21945	22305	1	360
OCT4_041	OCT4		1	22305	22665	1	360
OCT4_042	OCT4		1	22665	23025	1	360
OCT4_043	OCT4		1	23025	23385	1	360
OCT4_044	OCT4		1	23385	23745	1	360
OCT4_045	OCT4		1	23745	24105	1	360
OCT4_046	OCT4		1	24105	24465	1	360
OCT4_047	OCT4		1	24465	24825	1	360
OCT4_048	OCT4		1	24825	25185	1	360
OCT4_049	OCT4		1	25185	25545	1	360
OCT4_050	OCT4		1	25545	25905	1	360
OCT4_051	OCT4		1	25905	26265	1	360
OCT4_052	OCT4		1	26265	26625	1	360
OCT4_053	OCT4		1	26625	26985	1	360
OCT4_054	OCT4		1	26985	27345	1	360
OCT4_055	OCT4		1	27345	27705	1	360
OCT4_056	OCT4		1	27705	28065	1	360
OCT4_057	OCT4		1	28065	28425	1	360
OCT4_058	OCT4		1	28425	28785	1	360
OCT4_059	OCT4		1	28785	29145	1	360
OCT4_060	OCT4		1	29145	29505	1	360
OCT4_061	OCT4		1	29505	29865	1	360
OCT4_062	OCT4		1	29865	30225	1	360
OCT4_063	OCT4		1	30225	30585	1	360
OCT4_064	OCT4		1	30585	30945	1	360
OCT4_065	OCT4		1	30945	31305	1	360
OCT4_066	OCT4		1	31305	31665	1	360
OCT4_067	OCT4		1	31665	32025	1	360
OCT4_068	OCT4		1	32025	32385	1	360
OCT4_069	OCT4		1	32385	32745	1	360
OCT4_070	OCT4		1	32745	33105	1	360
OCT4_071	OCT4		1	33105	33465	1	360
OCT4_072	OCT4		1	33465	33825	1	360
OCT4_073	OCT4		1	33825	34185	1	360
OCT4_074	OCT4		1	34185	34545	1	360
OCT4_075	OCT4		1	34545	34905	1	360
OCT4_076	OCT4		1	34905	35265	1	360
OCT4_077	OCT4		1	35265	35625	1	360
OCT4_078	OCT4		1	35625	35985	1	360
OCT4_079	OCT4		1	35985	36345	1	360
OCT4_080	OCT4		1	36345	36705	1	360
OCT4_081	OCT4		1	36705	37065	1	360
OCT4_082	OCT4		1	37065	37425	1	360
OCT4_083	OCT4		1	37425	37785	1	360
OCT4_084	OCT4		1	37785	38145	1	360
OCT4_085	OCT4		1	38145	38505	1	360
OCT4_086	OCT4		1	38505	38865	1	360
OCT4_087	OCT4		1	38865	39225	1	360
OCT4_088	OCT4		1	39225	39585	1	360
OCT4_089	OCT4		1	39585	39945	1	360
OCT4_090	OCT4		1	39945	40305	1	360
OCT4_091	OCT4		1	40305	40665	1	360
OCT4_092	OCT4		1	40665	41025	1	360
OCT4_093	OCT4		1	41025	41385	1	360
OCT4_094	OCT4		1	41385	41745	1	360
OCT4_095	OCT4		1	41745	42105	1	360
